strategy,distance_m,height_m
constant_speed,0.0,9500.0
constant_speed,0.0999998588455818,9500.000557896024
constant_speed,1.0999981031806303,9500.006136856253
constant_speed,11.099946135874838,9500.061926458546
constant_speed,111.09598681787398,9500.619822481483
constant_speed,1110.7138498286165,9506.19878271087
constant_speed,2446.739878088738,9513.660652316994
constant_speed,3781.677206109838,9521.122521923118
constant_speed,5115.542537741323,9528.584391529244
constant_speed,6448.352576832596,9536.046261135369
constant_speed,7780.124027233065,9543.508130741491
constant_speed,9110.873592792135,9550.970000347615
constant_speed,10440.617977359214,9558.431869953742
constant_speed,11769.373884783705,9565.893739559866
constant_speed,13097.15801891501,9573.35560916599
constant_speed,14423.98708360254,9580.817478772116
constant_speed,15749.8777826957,9588.27934837824
constant_speed,17074.8468200439,9595.741217984363
constant_speed,18398.91089949653,9603.203087590487
constant_speed,19722.086724903016,9610.664957196612
constant_speed,21044.39100011275,9618.126826802736
constant_speed,22365.84042897514,9625.58869640886
constant_speed,23686.4517153396,9633.050566014985
constant_speed,25006.24156305552,9640.512435621107
constant_speed,26325.22667597232,9647.974305227232
constant_speed,27643.4237579394,9655.436174833358
constant_speed,28960.84951280616,9662.898044439482
constant_speed,30277.520644422017,9670.359914045604
constant_speed,31593.45385663637,9677.821783651729
constant_speed,32908.665853298626,9685.283653257857
constant_speed,34223.17333825819,9692.74552286398
constant_speed,35536.99301536447,9700.207392470104
constant_speed,36850.14158846687,9707.669262076226
constant_speed,38162.63576141479,9715.131131682352
constant_speed,39474.492238057646,9722.593001288476
constant_speed,40785.72772224483,9730.0548708946
constant_speed,42096.35891782576,9737.516740500729
constant_speed,43406.40252864984,9744.978610106851
constant_speed,44715.87525856648,9752.440479712976
constant_speed,46024.79381142507,9759.9023493191
constant_speed,47333.17489107503,9767.364218925224
constant_speed,48641.03520136576,9774.82608853135
constant_speed,49948.39144614666,9782.287958137473
constant_speed,51255.26032926715,9789.7498277436
constant_speed,52561.65855457662,9797.211697349723
constant_speed,53867.602825924485,9804.673566955847
constant_speed,55173.10984716015,9812.135436561972
constant_speed,56478.196322133015,9819.597306168096
constant_speed,57782.87895469249,9827.05917577422
constant_speed,59087.17444868798,9834.521045380345
constant_speed,60391.099507968895,9841.98291498647
constant_speed,61694.67083638464,9849.444784592592
constant_speed,62997.905137784604,9856.90665419872
constant_speed,64300.81911601822,9864.368523804842
constant_speed,65603.42947493488,9871.830393410968
constant_speed,66905.75291838398,9879.292263017092
constant_speed,68207.80615021495,9886.75413262322
constant_speed,69509.60587427717,9894.216002229345
constant_speed,70811.16879442005,9901.677871835467
constant_speed,72112.511614493,9909.139741441591
constant_speed,73413.65103834544,9916.601611047716
constant_speed,74714.60376982676,9924.063480653842
constant_speed,76015.38651278637,9931.525350259964
constant_speed,77316.01597107366,9938.98721986609
constant_speed,78616.50884853807,9946.449089472217
constant_speed,79916.88184902897,9953.91095907834
constant_speed,81217.15167639579,9961.372828684463
constant_speed,82517.33503448793,9968.834698290588
constant_speed,83817.4486271548,9976.296567896712
constant_speed,85117.50915824578,9983.758437502836
constant_speed,86417.5333316103,9991.22030710896
constant_speed,87717.53785109776,9998.682176715083
constant_speed,89017.53942055757,10006.14404632121
constant_speed,90317.55474383912,10013.605915927334
constant_speed,91617.60052479184,10021.067785533458
constant_speed,92917.69346726513,10028.529655139582
constant_speed,94217.85027510836,10035.991524745708
constant_speed,95518.08765217096,10043.45339435183
constant_speed,96818.42230230237,10050.915263957955
constant_speed,98118.87092935196,10058.37713356408
constant_speed,99419.45023716912,10065.839003170204
constant_speed,100720.17692960329,10073.300872776328
constant_speed,102021.06771050383,10080.762742382452
constant_speed,103322.13928372024,10088.224611988577
constant_speed,104623.4083531018,10095.6864815947
constant_speed,105924.89162249802,10103.148351200827
constant_speed,107226.60579575824,10110.610220806951
constant_speed,108528.56757673192,10118.072090413076
constant_speed,109830.79366926842,10125.5339600192
constant_speed,111133.30077721715,10132.995829625324
constant_speed,112436.10560442752,10140.457699231449
constant_speed,113739.22485474896,10147.919568837571
constant_speed,115042.67523203087,10155.381438443696
constant_speed,116346.47344012265,10162.843308049822
constant_speed,117650.63618287366,10170.305177655946
constant_speed,118955.18016413336,10177.767047262072
constant_speed,120260.12208775114,10185.228916868196
constant_speed,121565.4786575764,10192.69078647432
constant_speed,122871.26657745856,10200.152656080443
constant_speed,124177.50255124702,10207.61452568657
constant_speed,125484.20328279118,10215.076395292694
constant_speed,126791.38547594043,10222.538264898818
constant_speed,128099.06583454424,10230.000134504942
constant_speed,129407.26106245194,10237.462004111068
constant_speed,130715.98786351296,10244.92387371719
constant_speed,132025.26294157674,10252.385743323315
constant_speed,133335.10300049264,10259.84761292944
constant_speed,134645.5247441101,10267.309482535564
constant_speed,135956.5448762785,10274.77135214169
constant_speed,137268.18010084724,10282.233221747814
constant_speed,138580.44712166575,10289.69509135394
constant_speed,139893.36264258344,10297.156960960065
constant_speed,141206.94336744968,10304.618830566187
constant_speed,142521.2060001139,10312.080700172311
constant_speed,143836.16724442548,10319.542569778436
constant_speed,145151.84380423385,10327.004439384562
constant_speed,146468.25238338843,10334.466308990684
constant_speed,147785.40968573862,10341.928178596809
constant_speed,149103.3324151338,10349.390048202937
constant_speed,150422.03727542338,10356.851917809056
constant_speed,151741.5409704568,10364.313787415183
constant_speed,153061.8602040834,10371.775657021308
constant_speed,154383.01168015267,10379.237526627432
constant_speed,155705.01210251395,10386.699396233556
constant_speed,157027.8781750167,10394.16126583968
constant_speed,158351.62660151027,10401.623135445803
constant_speed,159676.2740858441,10409.085005051931
constant_speed,161001.8373318676,10416.546874658054
constant_speed,162328.33304343015,10424.008744264178
constant_speed,163655.77792438117,10431.470613870302
constant_speed,164984.18867857003,10438.932483476428
constant_speed,166313.5820098462,10446.394353082553
constant_speed,167643.97462205903,10453.856222688675
constant_speed,168975.38321905796,10461.3180922948
constant_speed,170307.82450469237,10468.779961900926
constant_speed,171641.3151828117,10476.24183150705
constant_speed,172975.87195726534,10483.703701113174
constant_speed,174311.51153190268,10491.1655707193
constant_speed,175648.25061057313,10498.627440325425
constant_speed,176986.1058971261,10506.089309931547
constant_speed,178325.094095411,10513.551179537671
constant_speed,179665.23190927727,10521.013049143796
constant_speed,181006.53604257427,10528.474918749922
constant_speed,182349.02319915144,10535.936788356046
constant_speed,183692.7100828581,10543.39865796217
constant_speed,185037.61339754376,10550.860527568291
constant_speed,186383.74984705777,10558.32239717442
constant_speed,187731.13613524957,10565.784266780542
constant_speed,189079.7889659685,10573.246136386668
constant_speed,190429.72504306404,10580.708005992792
constant_speed,191780.9610703856,10588.169875598916
constant_speed,193133.51375178245,10595.63174520504
constant_speed,194487.3997911041,10603.093614811163
constant_speed,195842.63589220005,10610.55548441729
constant_speed,197199.2387589196,10618.017354023414
constant_speed,198557.22509511208,10625.479223629538
constant_speed,199916.61160462705,10632.941093235662
constant_speed,200668.44247343732,10637.064671167678
constant_mach,0.0,9500.0
constant_mach,0.0999998591581085,9500.000450433696
constant_mach,1.0999981409959203,9500.004954769336
constant_mach,11.09994998602846,9500.049998005932
constant_mach,111.09637208253336,9500.5004183835
constant_mach,1110.7519379849407,9505.00342486607
constant_mach,2446.9219580064814,9511.022811042754
constant_mach,3782.10558343649,9517.03833055707
constant_mach,5116.314290149679,9523.050001482903
constant_mach,6449.5595302794245,9529.057841851703
constant_mach,7781.852732367799,9535.061869652898
constant_mach,9113.20530151498,9541.062102834134
constant_mach,10443.628619528035,9547.058559301531
constant_mach,11773.1340450691,9553.051256919936
constant_mach,13101.73291380291,9559.040213513174
constant_mach,14429.436538543789,9565.02544686427
constant_mach,15756.25620940196,9571.006974715718
constant_mach,17082.203193929316,9576.984814769714
constant_mach,18407.2887372646,9582.958984687906
constant_mach,19731.524062277906,9588.929502093628
constant_mach,21054.92036971465,9594.89638456892
constant_mach,22377.48883833908,9600.859649657346
constant_mach,23699.240625076975,9606.819314863233
constant_mach,25020.18686515797,9612.775397652042
constant_mach,26340.338672257207,9618.72791545061
constant_mach,27659.70713863643,9624.676885647395
constant_mach,28978.303335284585,9630.622325592694
constant_mach,30296.13831205779,9636.564252598884
constant_mach,31613.22309781879,9642.502683940667
constant_mach,32929.56870057587,9648.437636855277
constant_mach,34245.186107621186,9654.369128542729
constant_mach,35560.086285668614,9660.297176166034
constant_mach,36874.280180991,9666.22179685145
constant_mach,38187.77871955694,9672.143007688685
constant_mach,39500.59280716699,9678.060825731136
constant_mach,40812.73332958936,9683.975267996108
constant_mach,42124.21115269511,9689.886351465047
constant_mach,43435.0371225928,9695.794093083765
constant_mach,44745.22206576266,9701.698509762648
constant_mach,46054.77678919021,9707.599618376884
constant_mach,47363.71208049943,9713.497435766703
constant_mach,48672.038708085376,9719.391978737563
constant_mach,49979.76742124635,9725.283264060405
constant_mach,51286.908950315534,9731.17130847184
constant_mach,52593.47400679215,9737.056128674389
constant_mach,53899.473283472165,9742.937741336686
constant_mach,55204.91745457845,9748.8161630937
constant_mach,56509.81717589053,9754.691410546957
constant_mach,57814.18308487381,9760.563500264729
constant_mach,59118.02580080836,9766.43244878228
constant_mach,60421.355924917225,9772.29827260205
constant_mach,61724.184040494256,9778.16098819389
constant_mach,63026.52071303151,9784.020611995256
constant_mach,64328.37649034616,9789.877160411424
constant_mach,65629.761902707,9795.730649815703
constant_mach,66930.68746296046,9801.581096549644
constant_mach,68231.16366665615,9807.428516923228
constant_mach,69531.20099217206,9813.27292721511
constant_mach,70830.80990083925,9819.11434367278
constant_mach,72130.00083706605,9824.952782512815
constant_mach,73428.78422846201,9830.788259921048
constant_mach,74727.17048596121,9836.620792052778
constant_mach,76025.17000394527,9842.450395032994
constant_mach,77322.79316036592,9848.277084956551
constant_mach,78620.05031686716,9854.10087788839
constant_mach,79916.9518189069,9859.921789863718
constant_mach,81213.50799587843,9865.739836888237
constant_mach,82509.72916123117,9871.555034938316
constant_mach,83805.62561259125,9877.367399961204
constant_mach,85101.20763188161,9883.176947875225
constant_mach,86396.48548544169,9888.983694569975
constant_mach,87691.46942414675,9894.78765590652
constant_mach,88986.16968352675,9900.588847717583
constant_mach,90280.59648388492,9906.387285807754
constant_mach,91574.76003041588,9912.18298595367
constant_mach,92868.67051332338,9917.975963904217
constant_mach,94162.33810793771,9923.76623538072
constant_mach,95455.77297483275,9929.553816077132
constant_mach,96748.98525994243,9935.338721660237
constant_mach,98041.9850946772,9941.120967769832
constant_mach,99334.78259603972,9946.900570018915
constant_mach,100627.38786674062,9952.677543993876
constant_mach,101919.81099531344,9958.451905254697
constant_mach,103212.06205622957,9964.223669335128
constant_mach,104504.15111001268,9969.992851742874
constant_mach,105796.0882033528,9975.759467959791
constant_mach,107087.88336922014,9981.523533442076
constant_mach,108379.5466269784,9987.285063620426
constant_mach,109671.08798249792,9993.044073900255
constant_mach,110962.5174282684,9998.800579661876
constant_mach,112253.84494351115,10004.554596260652
constant_mach,113545.0804942914,10010.306139027218
constant_mach,114836.2340336298,10016.055223267644
constant_mach,116127.3155016139,10021.801864263629
constant_mach,117418.33482550929,10027.54607727266
constant_mach,118709.30191987017,10033.287877528224
constant_mach,120000.22668664994,10039.02728023997
constant_mach,121291.11901531128,10044.764300593888
constant_mach,122581.98878293583,10050.498953752496
constant_mach,123872.84585433388,10056.231254855016
constant_mach,125163.70008215331,10061.96121901755
constant_mach,126454.56130698872,10067.68886133326
constant_mach,127745.43935748975,10073.414196872554
constant_mach,129036.3440504695,10079.137240683243
constant_mach,130327.28519101246,10084.858007790735
constant_mach,131618.27257258215,10090.576513198195
constant_mach,132909.3159771286,10096.29277188675
constant_mach,134200.42517519536,10102.00679881562
constant_mach,135491.60992602629,10107.718608922323
constant_mach,136782.87997767216,10113.428217122846
constant_mach,138074.24506709684,10119.135638311807
constant_mach,139365.71492028327,10124.840887362643
constant_mach,140657.29925233917,10130.543979127764
constant_mach,141949.00776760245,10136.24492843873
constant_mach,143240.85015974633,10141.943750106437
constant_mach,144532.8361118842,10147.640458921269
constant_mach,145824.9752966743,10153.335069653276
constant_mach,147117.27737642397,10159.02759705235
constant_mach,148409.7520031938,10164.718055848383
constant_mach,149702.4088189015,10170.40646075144
constant_mach,150995.25745542534,10176.092826451928
constant_mach,152288.30753470762,10181.77716762077
constant_mach,153581.5686688576,10187.45949890956
constant_mach,154875.05046025442,10193.139834950236
constant_mach,156168.76250164965,10198.81819035726
constant_mach,157462.7143762696,10204.49457972476
constant_mach,158756.91565791745,10210.169017628705
constant_mach,160051.37591107507,10215.841518626588
constant_mach,161346.10469100467,10221.512097257551
constant_mach,162641.1115438502,10227.180768042612
constant_mach,163936.4060067384,10232.84754548475
constant_mach,165231.99760787992,10238.512444069138
constant_mach,166527.89586666983,10244.175478263269
constant_mach,167824.11029378825,10249.836662517097
constant_mach,169120.6503913005,10255.496011263293
constant_mach,170417.52565275718,10261.153538917317
constant_mach,171714.74556329404,10266.80925987761
constant_mach,173012.31959973156,10272.46318852575
constant_mach,174310.25723067432,10278.115339226611
constant_mach,175608.56791661025,10283.765726328547
constant_mach,176907.26111000957,10289.414364163516
constant_mach,178206.3462554236,10295.06126704726
constant_mach,179505.83278958328,10300.706449279474
constant_mach,180805.73014149768,10306.34992514395
constant_mach,182106.04773255208,10311.991708908728
constant_mach,183406.79497660595,10317.631814826284
constant_mach,184707.9812800908,10323.27025713366
constant_mach,186009.6160421078,10328.907050052638
constant_mach,187311.70865452517,10334.54220778988
constant_mach,188614.26850207528,10340.175744537111
constant_mach,189917.3049624521,10345.807674471262
constant_mach,191220.8274064076,10351.43801175461
constant_mach,192524.8451978486,10357.06677053497
constant_mach,193829.36769393357,10362.693964945816
constant_mach,195134.4042451685,10368.319609106464
constant_mach,196439.9641955034,10373.943717122209
constant_mach,197746.0568824282,10379.56630308448
constant_mach,199052.6916370686,10385.187381071017
constant_mach,200359.87778428168,10390.806965145994
constant_mach,201667.62464275144,10396.4250693602
constant_mach,202975.94152508417,10402.04170775117
constant_mach,204284.8377379036,10407.656894343358
constant_mach,205594.3225819459,10413.270643148277
constant_mach,206904.40535215463,10418.882968164658
constant_mach,208215.09533777545,10424.493883378604
constant_mach,209526.40182245063,10430.103402763742
constant_mach,210838.33408431357,10435.711540281356
constant_mach,211331.29560510756,10437.817757263148
