scenario,strategy,final_time_s,final_distance_m,final_height_m,mean_climb_rate_mps
ct_engineering_check,constant_speed,8295.568531058232,2184830.351838067,10637.064671167678,0.13706892624785869
ct_engineering_check,constant_mach,8624.641625077793,2247345.3845458417,10437.817757263148,0.10873701169637753
beta_minus_20pct,constant_speed,773.762103278553,203788.193903256,10637.064671167678,1.4695274766620832
beta_minus_20pct,constant_mach,817.1406523943568,212928.13369435907,10437.817757263148,1.147682170156616
beta_minus_10pct,constant_speed,767.7978097014217,202217.35887419173,10637.064671167678,1.480942843025113
beta_minus_10pct,constant_mach,814.0727399051939,212126.18019839775,10437.817757263148,1.1520073223092642
beta_plus_10pct,constant_speed,756.117160848268,199140.98911749735,10637.064671167678,1.5038207437218263
beta_plus_10pct,constant_mach,808.0173593575263,210543.37351370568,10437.817757263148,1.1606406055543528
beta_plus_20pct,constant_speed,750.3973935772957,197634.555761871,10637.064671167678,1.5152833430658141
beta_plus_20pct,constant_mach,805.0290910672937,209762.30981895872,10437.817757263148,1.164948903920734
