distance_m,height_m,airspeed_mps,mass_kg,time_s,thrust_n,gamma_rad,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,wind_mps,groundspeed_mps,mach,cl,cd,drag_n,dh_dx,dV_dx,dm_dx,dt_dx,fuel_per_meter_kgpm,scaled_constraint_violation
0.0,9500.0,240.0,72450.0,0.0,47698.02032464898,0.006405774919358384,226.39999999999998,0.43889912259378233,301.6344940486747,28523.228847019436,27.5,267.49507594255977,0.7956649678178758,0.5005105062875159,0.033272984510688344,47231.17114717207,0.005747303800191098,-0.00021075161789374446,-0.05367240524757284,0.003738386572075569,0.05367240524757284,0.0
4744.53275,9526.85092546878,239.05059857109242,72197.73193069275,17.795536921618332,47699.33678489923,0.00619359622119405,226.2254689844529,0.437460951484213,301.518207113239,28407.848398161208,26.71610140189251,265.7621149213644,0.7928230963555509,0.5043908219186097,0.03344845455560788,46950.99293642176,0.00557104769588375,-0.00018954109848911044,-0.052728413959437496,0.0037627635537739726,0.052728413959437496,0.0
9489.0655,9552.861015802544,238.20066337154483,71949.14525455207,35.70186901674848,47700.65324514948,0.005981417523029717,226.05640339728345,0.43607125701335925,301.40551891640325,28296.44173080115,25.997998135673985,264.19440042500605,0.7902996077441147,0.5078616156288039,0.033606553928309454,46689.27574147965,0.005392881619803891,-0.00016881690138011477,-0.052108049819474464,0.0037850915779869413,0.052108049819474464,0.0
14233.598250000001,9578.021517326559,237.4479655884846,71702.87589206293,53.70928952693597,47701.96970539973,0.005769238824865384,225.89286013737734,0.43473017143292697,301.2964714420131,28189.010922420573,25.341975195181394,262.7859891717378,0.7880874424185992,0.5109090244301756,0.033746261405988714,46444.26723919097,0.0052129355412109755,-0.00014854717975150859,-0.05174046907387702,0.0038053779166532077,0.05174046907387702,0.0
18978.131,9602.324292374697,236.7904092574848,71457.87608227968,71.80814215357879,47703.28616564998,0.00555706012670105,225.73489209956446,0.4334378017033324,301.19110393245677,28085.556261390353,24.744379053058573,261.531132167435,0.7861799573953749,0.5135223044346613,0.033866732071834826,46214.47820403736,0.005031338939608805,-0.0001287078109824804,-0.051563152172402454,0.0038236365656069944,0.051563152172402454,0.0
23722.66375,9625.761813891962,236.22599439111673,71213.37520009626,89.98885292682421,47704.60262590024,0.005344881428536716,225.58254820970222,0.43219423043937305,301.08945290234436,27986.076335292124,24.201626598243024,260.42424677393285,0.7845708048356462,0.5156938412438931,0.03396730620535967,45998.662458538725,0.004848219527942828,-0.00010928244409459842,-0.0515217742231281,0.003839888230023653,0.0515217742231281,0.0
28467.196500000002,9648.327154258193,235.75278054001052,70968.8411823283,108.24196196460194,47705.91908615049,0.005132702730372383,225.43587349732172,0.430999517119659,300.9915521777458,27890.568139224877,23.710213712964215,259.4598888490422,0.7832538117242256,0.5174191251317917,0.03404751479734669,45795.79564734688,0.004663702095515562,-9.026227327364849e-05,-0.05157007465322953,0.0038541602882664282,0.05157007465322953,0.0
33211.729250000004,9670.013968929377,235.36885202725423,70723.94260453417,126.55815497356681,47707.23554640074,0.004920524032208049,225.29490920195903,0.4298536995242561,300.89743295846057,27799.027201185498,23.26672342105226,258.6327261308962,0.7822228648249961,0.5186966861602439,0.03410708135051283,45605.05300061215,0.004477907482076138,-7.164556365645334e-05,-0.051669710573968936,0.003866486716355809,0.051669710573968936,0.0
37956.262,9690.816475538293,235.07228596141118,70478.51152367548,144.92829426523107,47708.55200665099,0.0047083453340437155,225.15969290900108,0.4287567953639044,300.80712390058227,27711.447721555884,22.867833553956885,257.9375139183407,0.7814718046341992,0.5195279858116468,0.0341459197618678,45425.786309422954,0.004290951690596554,-5.343695967220878e-05,-0.051790078000652606,0.0038769079565393718,0.051790078000652606,0.0
42700.79475,9710.729429123008,234.86112397905413,70232.5072745883,163.34344898718274,47709.868466901244,0.0044961666358793815,225.03025871070042,0.4277088040639508,300.72065121648893,27627.822723740486,22.51032389526502,257.36907395909935,0.7809943315465139,0.5199172635531341,0.03416412824232606,45257.5003981998,0.00410294514260754,-3.564661074872862e-05,-0.05190808630793225,0.003885470715719785,0.05190808630793225,0.0
47445.3275,9729.748131813923,234.73334650269894,69985.98148754114,181.7949232106507,47711.184927151495,0.004283987937715048,224.90663714320948,0.4267097066905752,300.63803862575605,27548.144055515317,22.191082167741936,256.92227469568485,0.7807839206764603,0.5198713501666334,0.034161979932583526,45099.82916389634,0.0039139920830880215,-1.82891386153367e-05,-0.05200787460744332,0.0038922277221173753,0.05200787460744332,0.0
52189.860250000005,9748.445317365506,234.66284844848605,69739.03445982074,200.2750953420605,47710.77171905661,0.004336595843203928,224.7851054371242,0.425729240771495,300.5568004920486,27469.99386239159,21.898392750660236,256.559034660389,0.7807604022411537,0.5195419321989985,0.034146571869088094,44948.89568333397,0.003966474011951631,-1.1398270267018948e-05,-0.052087706456866285,0.0038977383950782123,0.052087706456866285,0.0
56934.393000000004,9767.38867531461,234.62493426565084,69491.73747566664,218.77963871116017,47710.358510961734,0.004389203748692808,224.661973610455,0.42473762439797813,300.47447035452706,27390.99790027771,21.623240851156748,256.2459150829053,0.7808481498904684,0.5190758697721717,0.03412478913608814,44801.112511774445,0.004018847809133656,-4.5995464337377224e-06,-0.05215512661276778,0.0039025012347083153,0.05215512661276778,0.0
61678.92575,9786.580217255885,234.6190519385193,69244.15267896818,237.3049873347652,47709.94530286685,0.0044418116541816875,224.53722858783672,0.42373481933455104,300.3910385690524,27311.154663099693,21.366440109996354,255.9831775716491,0.7810454434864449,0.5184764471082041,0.03409680217926758,44656.441629392466,0.004071088663926717,2.1036161593398173e-06,-0.0522089019646342,0.003906506706754596,0.0522089019646342,0.0
66423.45850000001,9806.01925075358,234.6447371301212,68996.34585951362,255.84752175661413,47709.532094771974,0.004494419559670567,224.4108748701017,0.4227209297454284,300.306507228944,27230.474001994855,21.12885593234608,255.77122317723385,0.7813508248465479,0.5177465723049236,0.03406276809100738,44514.86751113861,0.004123170435708882,8.706560439669596e-06,-0.052248751371504296,0.003909743979709011,0.052248751371504296,0.0
71167.99125,9825.7049574303,234.70150292066225,68748.38186603777,274.4035736165297,47709.11888667709,0.004547027465159447,224.28291777670302,0.4216960668099649,300.22087896567695,27148.9663293152,20.911362855931205,255.6104395001505,0.7817627599028338,0.516889386079549,0.03402285868487619,44376.37813039184,0.004175066184817335,1.5204453084271878e-05,-0.0522753455453016,0.003912203280724813,0.0522753455453016,0.0
75912.524,9845.636389307421,234.78883938342955,68500.32019614792,292.9694308109273,47708.705678582206,0.004599635370648327,224.15336346950176,0.4206603488379977,300.13415696566204,27066.64262577706,20.7148437291815,255.50119944486374,0.7822796370700701,0.5159082190246637,0.033977258070574015,44240.96232090075,0.004226748229035926,2.1592457663732733e-05,-0.052290261374026197,0.003913875951160834,0.052290261374026197,0.0
80657.05675,9865.81246542843,234.90621397166728,68252.21081675499,311.54134288136214,47708.29247048733,0.004652243276137206,224.0222189747152,0.41961390136636034,300.0463449858518,26983.514446026154,20.540188833031895,255.44386072852555,0.7828997683099386,0.5148065460997475,0.03392616009582181,44108.60734494016,0.004278188206340112,2.786590289270749e-05,-0.052295930486590925,0.003914754487142503,0.052295930486590925,0.0
85401.5895,9886.23196879436,235.05307268671845,68004.0902413422,330.11552655998685,47707.879262392446,0.004704851181626086,223.88949220283664,0.41855685723521757,299.9574473680458,26899.593922516335,20.388294947732224,255.43876611595564,0.7836213927981255,0.5135879390016654,0.033869765698959026,43979.296689599236,0.0043293571436639495,3.4020443268799226e-05,-0.052295582519326145,0.003914832565179449,0.052295582519326145,0.0
90146.12225,9906.893543639217,235.22884198513503,67755.97788762748,348.68817140178214,47707.46605429757,0.004757459087114966,223.75519196634508,0.41748935664297765,299.8674690517714,26814.89376760937,20.260064366481874,255.4862443404063,0.7844426830591728,0.5122560171077011,0.033808280217837036,43853.00811010532,0.004380225531397541,4.005220952392044e-05,-0.05229318378905188,0.003914105053216149,0.05229318378905188,0.0
94890.655,9927.793673574459,235.43301576408766,67507.87272814222,367.255444957534,47707.052846202685,0.0048100669926038455,223.619341121766,0.41641165121013174,299.7764243842469,26729.435520637373,20.156412607276156,255.5867047998519,0.7853620118649315,0.5108139038293985,0.03374188799554435,43729.72478457185,0.004430763376857374,4.595718510913791e-05,-0.05229336469007817,0.003912566581986699,0.05229336469007817,0.0
99635.18775000001,9950.235520051843,235.61111133098606,67259.75333110808,385.81492832450647,47704.146193060966,0.0054579485917624505,223.47346911966298,0.4152568188411782,299.67863293054273,26637.919044237722,20.074295103935317,255.6818971100408,0.7862125805465559,0.5095788664536945,0.03368517795113045,43601.04665298812,0.005029479846831537,2.925455183461423e-05,-0.05229985408944846,0.003911109903763027,0.05229985408944846,0.0
104379.72050000001,9975.517956321177,235.71198191722277,67011.59266053695,404.3694710214124,47701.239539919254,0.006105830190921055,223.30913328391233,0.41395874961570756,299.5684252267015,26535.122911376635,20.017981113880754,255.72556923642466,0.7868385386038108,0.5088530404636206,0.033651913755508196,43459.018455107434,0.005627940910446275,1.3406604431712065e-05,-0.05230864805341229,0.003910441974910515,0.05230864805341229,0.0
109124.25325000001,10003.63818327153,235.73963869289625,66763.40535200089,422.92220588257595,47698.332886777534,0.006753711790079657,223.12635180873502,0.41251862940940975,299.4457997724736,26421.166139987614,20.000397091325517,255.73465945303124,0.7872531151614653,0.5086167954580364,0.03364109700799009,43304.06871460281,0.0062256147728236375,-1.6123333074003936e-06,-0.05230989138156292,0.0039103029762911825,0.05230989138156292,0.0
113868.78600000001,10034.590898199536,235.69794930978432,66515.24040175376,441.474988742019,47695.426233635815,0.007401593389238261,222.925159161703,0.41093788384446356,299.31076444443755,26296.18925703741,20.03589590714752,255.72738905712146,0.7874690031522005,0.5088530661384406,0.03365191493133215,43136.74102134273,0.0068218131082795255,-1.583022747560648e-05,-0.05229880138299847,0.0039104141472176505,0.05229880138299847,0.0
118613.31875,10068.367130161465,235.5906451423885,66267.15919773567,460.02830747740296,47692.519580494096,0.008049474988396864,222.70561365395048,0.40921823399196855,299.16334160306656,26160.35856281178,20.14022193459544,255.7232346824588,0.7874983742325387,0.5095468703909588,0.03368371059063492,42957.672979192765,0.00741567550153018,-2.9276397389180775e-05,-0.05227480208050197,0.003910477674200148,0.05227480208050197,0.0
123357.8515,10104.953390719864,235.42131699178285,66019.21740584249,478.5811931374594,47689.612927352384,0.008697356587555468,222.46780296032085,0.4073617342670464,299.00357184432454,26013.86894282794,20.33045642670789,255.7428693682011,0.7873528584947954,0.5106849509093208,0.033735960358836484,42767.576313166224,0.008006156078887012,-4.198065284791851e-05,-0.052240762351376736,0.003910177446864681,0.052240762351376736,0.0
128102.38425,10144.330768439473,235.1934144481756,65771.45025491642,497.13113640564114,47686.706274210665,0.00934523818671407,222.2118500051434,0.4053708113853876,298.8315180190453,25856.94671753828,20.624941121549863,255.8080855151709,0.7870435354586196,0.5122554412317226,0.033808253668217804,42567.21992931444,0.008592013350203287,-5.3972608339750005e-05,-0.052202322776157196,0.003909180579597803,0.052202322776157196,0.0
132846.91700000002,10186.473985113138,234.91024815474918,65523.86083237835,515.6740134245549,47683.799621068945,0.009993119785872676,221.93791909676457,0.4032483031932432,298.64726944577404,25689.852430697258,21.043176413719245,255.9416953104386,0.7865809340587401,0.5142475521320552,0.03390027451932148,42357.415349446266,0.009171804442161386,-6.52811409889724e-05,-0.0521672974448341,0.003907139861627755,0.0521672974448341,0.0
137591.44975,10231.350437574312,234.57499435401135,65276.411066039145,534.2040257330821,47680.89296792723,0.010641001385031278,221.64622215576696,0.40099749591554246,298.4509462168583,25512.88345725712,21.605690748974773,256.1674046582071,0.7859750398766239,0.5166512752271228,0.03401178430872155,42139.00401787483,0.009743885008413044,-7.593396677005115e-05,-0.05214513776466692,0.003903697276920364,0.05214513776466692,0.0
142335.9825,10278.918623421217,234.19072763376255,65029.015126163904,552.7136596327315,47677.986314785514,0.011288882984189874,221.33702894776206,0.39862218958174844,298.24270623644287,25326.378762467673,22.33386795473561,256.50967324506854,0.7852353896229041,0.5194569434382398,0.03414259822387894,41912.84973447945,0.010306416652284453,-8.59575316364892e-05,-0.052146436793702115,0.0038984884560068936,0.052146436793702115,0.0
147080.51525,10325.8696886102,233.8953201393597,64781.63396349417,571.1917609840001,47674.83492149546,0.010425665968307104,221.03184702403368,0.39628826943817425,298.0370251555139,25143.37779484826,23.185731618647274,257.0683403044362,0.7847861184942192,0.5218490870291805,0.03425469113349351,41698.85195582606,0.009485688907285936,-3.886476293842018e-05,-0.052117750679227234,0.0038900161677464374,0.052117750679227234,0.0
151825.048,10368.937003511064,233.818984282123,64534.64924946169,589.6200366015975,47671.683528205394,0.009562448952424328,220.75190947717806,0.3941566153827076,297.84823293347495,24976.45745368792,24.08343537679169,257.8917294861459,0.7850272670052972,0.523016817126674,0.034309596594879255,41513.918800060696,0.008669715895553601,6.373998146086656e-06,-0.051975009084132454,0.0038775962377410036,0.051975009084132454,0.0
156569.58075000002,10408.146526921078,233.95280820002364,64288.627652279014,607.9813095329844,47668.53213491534,0.008699231936541553,220.49704757501297,0.3922235449986131,297.67624780786673,24825.27056756212,24.997507623132158,258.9414634981951,0.7859303855208059,0.5229961011416235,0.03430862148142026,41356.446426670846,0.007859629909022491,4.971897228607936e-05,-0.05171477300820684,0.003861876682437806,0.05171477300820684,0.0
161314.1135,10443.527893934835,234.28771742785977,64044.05334519267,626.2613790653751,47665.380741625275,0.007836014920658782,220.26706868942355,0.3904854396466896,297.52096883113745,24689.48142018158,25.901509780948118,260.1820342460477,0.7874662359036392,0.5218341595289113,0.03425399005230603,41225.393996955776,0.007056072363792454,9.113353224799937e-05,-0.05137410909529628,0.0038434629158688367,0.05137410909529628,0.0
166058.64625000002,10475.112739364733,234.8144824371055,63801.15227130159,644.4488029045177,47662.22934833522,0.006972797904776007,220.06176719412923,0.3889388215617645,297.38228323540847,24568.77151196267,26.77196345319982,261.5807375838592,0.7896048139869377,0.5195864628214019,0.03414865415562652,41120.12297428021,0.006259255473578989,0.00013058976046356264,-0.0510236428715939,0.0038229114621997485,0.0510236428715939,0.0
170803.179,10502.932814081127,235.52377067477792,63559.74931015086,662.5346552319478,47659.07795504516,0.006109580888893237,219.88093670847266,0.38758043911739815,297.26007474101516,24462.84592836536,27.588242464386834,263.1076174574595,0.7923155199364584,0.5163136934259135,0.03399609235085987,41040.25992439781,0.005469026667355611,0.00016807275304880765,-0.050760691043212354,0.003800726142646496,0.050760691043212354,0.0
175547.71175000002,10527.018405108132,236.40621578056695,63319.1572407163,680.512271854012,47655.9265617551,0.005246363873010461,219.7243803667971,0.38640733588349974,297.1542305571381,24371.438427677927,28.332451979681586,264.7354143059028,0.7955673905006369,0.5120789442774837,0.0338001180327554,40985.583524884416,0.004684931721247342,0.00020358351893537188,-0.05070276843460908,0.0037773563564279925,0.05070276843460908,0.0
180292.2445,10547.39704725257,237.45249691616058,63078.095172154164,698.3769911437533,47652.77516846504,0.004383146857127691,219.59191919285826,0.38541690496497644,297.0646471157986,24294.315385023525,28.989305820224992,266.4395217741574,0.7993293689491074,0.506945266391778,0.03356470764026638,40955.937379882205,0.003906274212043463,0.00023714033436124366,-0.05098168997659838,0.00375319694819011,0.05098168997659838,0.0
185036.77725,10564.092505210641,238.65342086732454,62834.633241436146,716.1258972532909,47649.62377517498,0.0035199298412449155,219.4833987161308,0.3846069303595,296.9912346215819,24231.278744150586,29.546010633044524,268.1979530551596,0.8035705874330271,0.5009736406061769,0.03329385648619931,40951.16839531899,0.0031321699274047834,0.0002687785717522607,-0.05173841439402048,0.0037285892327236837,0.05173841439402048,0.0
189781.31,10577.124000630612,239.9999999848631,62586.15985891313,733.7575702175238,47646.47238188492,0.002656712825362146,219.398693995901,0.38397561712342015,296.93392052127143,24182.168128389778,29.992163363116497,269.99131637371346,0.8082606377996152,0.4942214117840398,0.032991466173961426,40971.088995796934,0.0023615956859448237,0.0002985491435549606,-0.05311870164386302,0.0037038228244934794,0.05311870164386302,0.0
